uri,lcsh_topic,lcsh_t1,count
http://bnb.data.bl.uk/id/resource/000009724,"Africa, North--History","Africa, North",6
http://bnb.data.bl.uk/id/resource/000012958,Hungary--Politics and government--1945-1989,Hungary,21
http://bnb.data.bl.uk/id/resource/000014686,Space flight,Space flight,4
http://bnb.data.bl.uk/id/resource/000016559,Literature--History and criticism,Literature,22
http://bnb.data.bl.uk/id/resource/000039841,Minerals--Early works to 1800,Minerals,43
http://bnb.data.bl.uk/id/resource/000076385,Monasticism and religious orders--Rules,Monasticism and religious orders for women,5
http://bnb.data.bl.uk/id/resource/000113815,Statutes--Great Britain,Statutes,22
http://bnb.data.bl.uk/id/resource/000135777,Boundary value problems,Boundary value problems,5
http://bnb.data.bl.uk/id/resource/000139539,English poetry,English poetry,161
http://bnb.data.bl.uk/id/resource/000139570,Iceland--Description and travel,Iceland,11
http://bnb.data.bl.uk/id/resource/000139635,Aphorisms and apothegms,Aphorisms and apothegms,1
http://bnb.data.bl.uk/id/resource/000139637,English poetry,English poetry,161
http://bnb.data.bl.uk/id/resource/000140898,Composers--Indexes,Composers,17
http://bnb.data.bl.uk/id/resource/000146412,Agricultural geography--Australia,Agricultural geography,1
http://bnb.data.bl.uk/id/resource/000237570,Canon (Literature),Canon (Literature),6
http://bnb.data.bl.uk/id/resource/000239630,Ballet,Ballet,5
http://bnb.data.bl.uk/id/resource/000274023,"Columns, Concrete","Columns, Concrete",1
http://bnb.data.bl.uk/id/resource/000370387,"Manuscripts, English--Facsimiles","Manuscripts, English",13
http://bnb.data.bl.uk/id/resource/000370555,"Alexander I, Emperor of Russia, 1777-1825--Fiction","Alexander I, Emperor of Russia, 1777-1825",1
http://bnb.data.bl.uk/id/resource/000446604,"Shakespeare, William, 1564-1616--Technique","Shakespeare, William, 1564-1616",91
http://bnb.data.bl.uk/id/resource/000475334,Dance--Soviet Union,Dance,9
http://bnb.data.bl.uk/id/resource/000476641,Rare books,Rare books,6
http://bnb.data.bl.uk/id/resource/000482961,Opera--History and criticism,Opera,10
http://bnb.data.bl.uk/id/resource/000496495,Pricing,Pricing,1
http://bnb.data.bl.uk/id/resource/000501298,Astronomy--Juvenile literature,Astronomy,24
http://bnb.data.bl.uk/id/resource/000506631,"Etchings, English","Etchings, English",1
http://bnb.data.bl.uk/id/resource/000536125,South African fiction (English),South African fiction (English),1
http://bnb.data.bl.uk/id/resource/000537740,"World War, 1939-1945--Aerial operations, British"",""World War, 1939-1945--Aerial operations,British","World War, 1939-1945",171
http://bnb.data.bl.uk/id/resource/000557578,Manchester (England)--History,Manchester (England),17
http://bnb.data.bl.uk/id/resource/000580504,Rare books--Massachusetts--Cambridge,Rare books,14
http://bnb.data.bl.uk/id/resource/000614133,"Soviet Union--History--Revolution, 1917-1921",Soviet Union,56
http://bnb.data.bl.uk/id/resource/000614137,"Soviet Union--History--Revolution, 1917-1921",Soviet Union,56
http://bnb.data.bl.uk/id/resource/000632823,"Popish Plot, 1678--Bibliography","Popish Plot, 1678",1
http://bnb.data.bl.uk/id/resource/000654659,Musical notation,Musical notation,4
http://bnb.data.bl.uk/id/resource/000669290,Fiction in English,Fiction in English,111
http://bnb.data.bl.uk/id/resource/000683721,New South Wales--Exhibitions,New South Wales,23
http://bnb.data.bl.uk/id/resource/000686614,Peugeot automobile,Peugeot automobile,1
http://bnb.data.bl.uk/id/resource/000689812,Air-compressors,Air-compressors,1
http://bnb.data.bl.uk/id/resource/000712597,Visions in art,Visions in art,11
http://bnb.data.bl.uk/id/resource/000729760,"Warminster (England)--Buildings, structures, etc.",Warminster (England),2
http://bnb.data.bl.uk/id/resource/000761469,"Logic, Symbolic and mathematical","Logic, Symbolic and mathematical",27
http://bnb.data.bl.uk/id/resource/000779541,"World War, 1939-1945--Medical care","World War, 1939-1945",171
http://bnb.data.bl.uk/id/resource/000779740,Rheumatism--History,Rheumatism,3
http://bnb.data.bl.uk/id/resource/000812721,"Shakespeare, William, 1564-1616--Prose","Shakespeare, William, 1564-1616",192
http://bnb.data.bl.uk/id/resource/000819704,Gay men--Great Britain--Biography,Gay men,7
http://bnb.data.bl.uk/id/resource/000822459,China--Civilization--1949-,China,61
http://bnb.data.bl.uk/id/resource/000847323,Hungarian literature--Translations into English--Bibliography,Hungarian literature,3176
http://bnb.data.bl.uk/id/resource/000907912,Wildlife photographers--Africa,Wildlife photographers,10
http://bnb.data.bl.uk/id/resource/000927999,Bible stories,Bible stories,16
http://bnb.data.bl.uk/id/resource/000928000,Bible stories,Bible stories,16
http://bnb.data.bl.uk/id/resource/000928006,Bible stories,Bible stories,16
http://bnb.data.bl.uk/id/resource/000928007,Bible stories,Bible stories,16
http://bnb.data.bl.uk/id/resource/000928018,Bible stories,Bible stories,16
http://bnb.data.bl.uk/id/resource/000928021,Bible stories,Bible stories,16
http://bnb.data.bl.uk/id/resource/000958102,Peru--Description and travel,Peru,1
http://bnb.data.bl.uk/id/resource/000984056,"Shakespeare, William, 1564-1616--Biography","Shakespeare, William, 1564-1616",91
http://bnb.data.bl.uk/id/resource/000985776,Management,Management,59
http://bnb.data.bl.uk/id/resource/001008069,"World War, 1939-1945--Medical care","World War, 1939-1945",171
http://bnb.data.bl.uk/id/resource/001008864,Industries--Great Britain,Industries,14
http://bnb.data.bl.uk/id/resource/001035354,Sanskrit language--Grammar,"Sanskrit language, Buddhist Hybrid",4
http://bnb.data.bl.uk/id/resource/001051555,Swedish poetry--Translations into English,Swedish poetry,161
http://bnb.data.bl.uk/id/resource/001054169,Medicine--Iran--History,Medicine,45
http://bnb.data.bl.uk/id/resource/001056286,"Portraits, British","Portraits, British",3176
http://bnb.data.bl.uk/id/resource/001070022,Sex,Sex,13
http://bnb.data.bl.uk/id/resource/001089927,Paper money--Great Britain--History,Paper money,1
http://bnb.data.bl.uk/id/resource/001101416,"Electric locomotives--Handbooks, manuals, etc.",Electric locomotives,3
http://bnb.data.bl.uk/id/resource/001102047,"Housing--Great Britain--Societies, etc.",Housing,55
http://bnb.data.bl.uk/id/resource/001106267,Nurses and nursing--Great Britain,Nurses and nursing,5
http://bnb.data.bl.uk/id/resource/001107136,"Aeronautics, Commercial--Great Britain--Passenger traffic","Aeronautics, Commercial",16
http://bnb.data.bl.uk/id/resource/001108301,World politics--1955-1965,World politics,22
http://bnb.data.bl.uk/id/resource/001111551,Ultraviolet radiation,Ultraviolet radiation,41
http://bnb.data.bl.uk/id/resource/001126703,Netball--Great Britain,Netball,1
http://bnb.data.bl.uk/id/resource/001127659,Problem children--Education--England--London Metropolitan Area,Problem children,2
http://bnb.data.bl.uk/id/resource/001132059,"Names, Geographical--England--Cumberland","Names, Geographical",2148
http://bnb.data.bl.uk/id/resource/001132061,"Names, Geographical--England--Oxfordshire","Names, Geographical",2148
http://bnb.data.bl.uk/id/resource/001132062,"Names, Geographical--England","Names, Geographical",2148
http://bnb.data.bl.uk/id/resource/001132063,"Names, Geographical--England--Derbyshire","Names, Geographical",2148
http://bnb.data.bl.uk/id/resource/001132064,"Names, Geographical--England--West Riding of Yorkshire","Names, Geographical",2148
http://bnb.data.bl.uk/id/resource/001132065,"Names, Geographical--England--Gloucestershire","Names, Geographical",2148
http://bnb.data.bl.uk/id/resource/001132066,"Names, Geographical--England--Westmorland","Names, Geographical",2148
http://bnb.data.bl.uk/id/resource/001132067,"Names, Geographical--England--Cheshire","Names, Geographical",2148
http://bnb.data.bl.uk/id/resource/001168856,Great Britain--History--To 1066,Great Britain,3176
http://bnb.data.bl.uk/id/resource/001176462,"Shakespeare, William, 1564-1616--Criticism and interpretation","Shakespeare, William, 1564-1616",91
http://bnb.data.bl.uk/id/resource/001176463,"Shakespeare, William, 1564-1616--Criticism and interpretation","Shakespeare, William, 1564-1616",91
http://bnb.data.bl.uk/id/resource/001180643,"Auden, W. H. (Wystan Hugh), 1907-1973--Criticism and interpretation","Auden, W. H. (Wystan Hugh), 1907-1973",6
http://bnb.data.bl.uk/id/resource/001196670,Surgery--Ireland--History,Surgery,13
http://bnb.data.bl.uk/id/resource/001201382,"Shakespeare, William, 1564-1616--Knowledge and learning","Shakespeare, William, 1564-1616",91
http://bnb.data.bl.uk/id/resource/001201383,"Shakespeare, William, 1564-1616--Knowledge and learning","Shakespeare, William, 1564-1616",91
http://bnb.data.bl.uk/id/resource/001211477,United States--Historiography,United States,262
http://bnb.data.bl.uk/id/resource/001238438,Materials--Creep,Materials,73
http://bnb.data.bl.uk/id/resource/001254783,Reconstruction (1939-1951)--Europe,Reconstruction (1939-1951),155
http://bnb.data.bl.uk/id/resource/001257441,Monsters--Fiction,Monsters,6
http://bnb.data.bl.uk/id/resource/001257442,Monsters--Fiction,Monsters,6
http://bnb.data.bl.uk/id/resource/001262165,Missouri--History,Missouri,1
http://bnb.data.bl.uk/id/resource/001311557,United States--Politics and government--To 1775,United States,262
